Date,PPI Input Index,Fuel Input Index,Black Metal Input Index,Base Metal Input Index,Chemical Input Index,Wood and Pulp Input Index,Construction and Non-metal Material Input Index,Other Raw Material Input Index,Subsidiary Agricultural Products Input Index,Fabric Raw Material Input Index
2018-03-01,102.885378127353,110.413918471655,98.282179935704,106.266852176417,113.200489048445,103.276398274473,93.0828893787081,100.020729879952,92.4735517831478,102.420661551672
2018-02-01,102.334984096591,108.131097424971,98.0525275875327,106.458166572422,112.021777492332,102.454584834909,92.5001790686237,99.8310528877771,93.332779214371,101.793664178044
2018-01-01,101.459666063068,104.562642097597,97.7946560746018,106.196534329858,110.606568573655,102.280599459288,92.1918896866992,99.8262193476172,93.7205295890106,101.579670558913
2017-12-01,100.482203255391,102.484720758196,96.3111946120844,104.110356752315,109.626584277271,101.947873648679,90.7627740360764,99.6573462251402,93.5021906965161,101.579029124686
2017-11-01,99.6649524950796,101.708319059955,93.940161733353,103.388830441523,108.723198508837,102.498916217216,88.7325418860596,99.4467299568274,92.6917864596281,101.700402763053
2017-10-01,99.2892489421732,101.826081677519,92.8691377728744,102.33454180288,108.185672384641,102.380240705511,87.5049478743447,99.3676752029619,92.1965613717131,101.923777003764
2017-09-01,98.7167308666074,101.684149078623,92.216191622463,99.7512473788052,107.750877241378,100.96689522336,86.8278022986269,99.0159918487773,92.0955724235001,101.937073620312
2017-08-01,97.7716265046184,101.317396830242,90.1894673211784,96.4775047514972,107.074936214742,99.0424657578887,86.3332635427826,98.5481053557287,91.6273048325568,101.98840330404
2017-07-01,97.1774936509667,101.418836286417,88.15767104841,94.2572182384575,107.122669035276,98.1270485953357,86.3189444175285,98.2226706445797,91.2569984241738,101.830943587449
2017-06-01,97.5400578371989,103.610232985559,88.0080841614319,94.122955722942,107.581821606758,97.7882602682161,86.1429891054212,98.1280220685661,91.1100953520138,101.735325979454
2017-05-01,98.4346553679827,106.097991929413,89.6918558110074,95.1940938862867,108.449976042292,97.5889759368269,85.7495452312557,98.3056790777426,91.8440476591097,101.704279844922
2017-04-01,99.0853350121415,106.845172372718,91.4475157519793,97.4326723942669,109.339097537796,97.3987088058093,85.0107097019167,98.4925542493403,92.7698534480428,101.368490908834
2017-03-01,99.2989645893136,106.21151468477,92.9000150963761,98.5155002574286,109.960881060138,97.2346744652566,83.8215588001504,98.6641461820427,93.1816965208923,101.038553001945
2017-02-01,98.4134776540275,103.952151227028,91.4028513224521,98.1136277215065,108.408621001187,96.5214114531275,82.9186999138107,98.4114644446703,93.39739517223,100.41422123676
2017-01-01,97.0384838985877,100.690576868638,89.665253254887,96.3845667820122,105.57287521985,95.7199017672319,82.5064958548124,98.1871352476792,93.6994541168876,99.5555974550896
2016-12-01,95.3859372809852,97.1551241484518,87.4078637928747,95.1517119505067,102.69313073993,94.7596372182944,81.6308078345398,97.6053612463096,93.1351466733352,98.887055818429
2016-11-01,93.3326211048992,94.5725826719986,83.5123348180658,91.1252450533124,99.9248145430246,93.5715991480656,80.6310933993177,96.8314872434555,91.902538641426,98.2779735750376
2016-10-01,91.6387935522419,91.6326145696123,80.5649863288831,86.4601586595309,98.7662369253229,93.0818144821521,79.4556325069719,96.3648184523452,91.1390213562557,97.9907459138181
2016-09-01,90.9022815163937,90.0470656036531,79.4670059543623,84.771115300023,98.4181968599421,92.9302252790776,78.6464888329195,96.1043098037147,91.3903707304846,97.6159198921378
2016-08-01,90.6607877699013,89.7576330308491,78.4559834103137,84.1385553705801,98.7717252335583,92.96392285451,78.5491879109218,96.0775473754094,91.0995878296891,97.792086949189
2016-07-01,90.649957818971,90.82182389205,77.3945953432426,83.4098867317573,99.347109207064,92.7630245523122,78.6833673426254,95.9510713054736,90.635058916216,97.5644552131464
2016-06-01,90.6414413564834,91.2789844161388,77.283436988587,82.2536281682765,99.9951571369079,92.8611122335691,79.1207402466128,95.8416813203592,90.6008770485721,96.9809720907311
